Task Name,Model Associated,Order,Description,Tcode Associated
Review inventory in all locations,4.4.3.5 -CC Track inventory accuracy (Cycle Count) 1.00,15,,
Review Invoice / Credit memo Details [WMD Xflow],9.6.1.3 -Non-PO Audit invoices and key data in AP system (Non-PO) 1.00,37,,SAP SBWP: SAP Business Workplace (Application)
Review ITLR Request,4.1.2.4B Develop available to promise Build Plan 1.00,16,GOPS Demand Management & GOPS PM will provide comments on capacity and material availability prior to GOPS Demand Management Director’s approval,MS PowerApp (Microsoft) (Application)
Review LTP changes as per build plan,4.1.3.1 -FCST Create Unconstrained Plan 3.00,8,"LTP: Long Term Planning
- Newly Added Tools
- Dropped Tools
- Changes in ASD
- Config Changes (can be customer change that result to config change)",
Review material availability,4.3.1.4 Reschedule Production Orders 2.00,30,"Monitor material availability
PPDS: Tcode /SAPAPO/RRP3
LeanPP: MD04","Fiori /SAPAPO/RRP3: Product View (Application),
Fiori MD04: Monitor Stock / Requirements List (Application)"
Review material lead time,4.1.7.3 Establish dynamic deployment policies 2.00,44,,
Review MBOM,2.5.1.2.2 Review MBOM 1.00,3,"Review of the MBOM by Subject Matter Expert (SME) or Buddy Check on BOM structure, ER, DIRs, etc.
There are two decision options available in this task:
Approve - will result in BOM status 20
Reject - will return to the MBOM Update (Manual Synch) and Routing task",
Review milestone dates,4.1.2.4A Develop available to promise Build Plan 1.00,12,,
Review Missing Part List,4.3.1.7 Release Production Order 2.00,7,"Review Missing Part List
Based on the collective material availability check, if there are any components missing then a missing part list will be generated and can be accessed to review by planner through this transaction.","Fiori CO24: Call Up Missing Part List (Application),
Fiori COOIS: Monitor Production / Planned Orders for Production Supervisor - Discrete Manufacturing (Application)"
Review monthly analysis/ reports,9.1.2.1 -RPT APPROVAL Perform inventory accounting (Approval) 1.00,8,Review monthly analysis/ reports,MS Outlook (Application)
Review monthly analysis/ reports,9.1.2.1 -RPT APPROVAL Perform inventory accounting (Approval) 1.00,5,Review monthly analysis/ reports,MS Outlook (Application)
Review new activity type request,9.1.3.1 -AT Determine key cost drivers (Maintain Activity Type) 1.00,26,review request New / change Activity Type,
Review New Characteristics IT Change Request,4.2.5.1 Monitor Manage supplier information 2.00,25,ITCR: Information Technology Change Request,Halo (workflow application details TBD) (Application)
Review new/change cost center/group request,9.1.3.1 -CC Determine key cost drivers (Maintain Cost Center) 1.00,7,Request will be reviewed by BU/SU Controller.,
Review ongoing production orders,4.3.1.4 Reschedule Production Orders 2.00,38,"Review ongoing affected production orders.
T-code: /SAPAPO/CDPS0
App: Advanced Scheduling Board","Fiori F5460: Advanced Scheduling Board (Application),
SAP /SAPAPO/CDPS0: DPS Variable View (Application)"
Review Open Commitment Report,9.3.1.5 Establish common financial systems (FCC) 1.00,35,,
Review open GR/IR List and proposal,9.3.2.2 -GRIR Process journal entries (Monitor and Clear GR/IR Account) 1.00,20,"On a quarterly basis, purchasing related suspense accounts including the GR/IR account related to blocked transactions coming from the 3-way match are reviewed and cleared to ensure the completeness and accuracy of liabilities. FSS Director/ Finance Manager reviews the aging of the items in the GRIR-list to ensure long outstanding items > EUR10K",
Review open GR/IR List for write-off proposal,9.3.2.2 -GRIR Process journal entries (Monitor and Clear GR/IR Account) 1.00,16,"Any remaining balances >270 days will be reviewed and written off quarterly, as appropriate by the FSS AP team and approved by the BU/SU controller.",
Review open source inspection lots,4.2.4.4D First article inspection Ariba(Source inspection)-document verification 1.00,11,"The Power BI (PBI) report for source inspection monitoring will provide an overview of Source Inspections which have a document attached to it. These source inspections need to be directed to the right owner for validation.
This PBI report is under development",Fiori F2358: Monitor Purchase Order Items for Purchaser (Application)
Review operations impact,2.5.4.1 ETO Sub-System Design 1.00,27,"Validate the structure/changes triggered by the ETO process based on the below criteria. If the review indicates that the structure/changes are not meeting requirements the task can be returned to the OFE team to initiate updates.
Lead-time vs. required date
Tools, jigs, and fixtures
Training requirements
Facility requirements
Work instructions
Testing requirements
Work Center usage
Validate if any materials used which do not have the correct status.
Operations review (sharepoint.com)",SAP IPS ETO Ticket Workflow (Engineer To Order) ( (Application)
Review Opportunities Relevant for Planning based on system logic,4.1.2.1 -EQ-RFK Develop baseline demand forecast - Manage Orders 1.00,3,,
Review Opportunities Relevant for Planning based on system logic,4.1.2.1 -EQ-CRM Develop baseline demand forecast - Manage opportunity 1.00,3,,SAP CRM - Opportunity (Customer Relationship Management) (Application)
"Review opportunity, inform IQ manager and assign IQ Tool Owner to update information",5.3.1.7 -IQ Create Service Order ZMIQ: Install & Qualification 2.00,8,"Key Activities:
Service manager review SHaRP regularly, update new opportunity when it is up to 50%
Assign tool owner their tool owner can continue update the installation plan
Inform IQ manager to update the IQ budget and total IQ hours.",Power App (SHaRP) (Application)
Review Order Acknowledgment,3.5.4.5a1 Esign Order Acknowledgement 1.00,2,,
Review Order BOM on operations impact,3.5.4.7C Process back orders and updates (OFE Change Approval Ticket D Implementation) 4.3.1.4 1.00,18,"Productiion planner reviews BOm and decides to:
Mfg Prep
No Mfg Prep
Reject","SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application),
SAP ZPLM_PDRR: Product Data Readiness Report (Application)"
Review OTV request,9.6.1.3 -OTV Audit invoices and key data in AP system (One-Time Vendor) 1.00,4,,MS PowerApp (Microsoft) (Application)
Review out-budget request,9.4.2.3 Monitor and track capital projects and budget spending 1.00,33,,
Review Packing BOM for completeness,"4.4.3.4 Pick, pack, and ship product for delivery 1.00",5,,
Review parked credit note line items details,9.2.2.2 -CN Generate customer billing data 1.00,13,SU1 Controller will review the parked credit note and detail before approving.,Fiori FBV0: Post Parked Journal Entries (Application)
Review parked credit note line items details,9.2.2.2 -CN Generate customer billing data 1.00,24,,Fiori FBV0: Post Parked Journal Entries (Application)
Review parts' reliability data to understand when replacement parts are likely needed,4.1.7.3 Establish dynamic deployment policies 2.00,17,,
Review Payment Proposal to verify if invoices can be paid,9.6.1.8 -PAY BATCH Process payments (Automatic Payment Run – Batch Job) 1.00,27,,
Review payment proposal via Spool List,9.6.1.8 -PAY ADHOC Process payments (Automatic Payment Run – Ad-hoc) 1.00,24,,MS Outlook (Application)
Review payment request,9.6.1.8 -PAY ADHOC Process payments (Automatic Payment Run – Ad-hoc) 1.00,8,,MS PowerApp (Microsoft) (Application)
Review penalty,4.1.2.4B Develop available to promise Build Plan 1.00,40,,
Review pending POs,3.5.1.6 R&C Manage opportunity pipeline 1.00,13,,
Review performed service,4.2.4.4C Approve Service Entry Sheet 2.00,2,Review the service delivered by the Supplier (non-material related),
Review PIR extension and leadtime request,4.2.3.4B Manage Purchase Info Record 2.00,3,"As needed, Supply Chain Specialist check completeness of PIR in ME1M and get approval from the Commodity Manager to extend the PIR from the other plant.","Fiori F1982: Manage Purchasing Info Records for Purchaser (Application),
Fiori ME1M: Display Purchasing Info Record by Material for Purchaser (Application)"
Review Plan for Approval,4.1.2.4B Develop available to promise Build Plan 1.00,2,,
Review posted invoices (QC Check),9.6.1.8 -PAY BATCH Process payments (Automatic Payment Run – Batch Job) 1.00,3,,
Review preliminary group financial reports,9.3.4.8C Perform legal and management consolidation (Consolidation & Reporting) 1.00,6,Review Group Reports in Group Data Analysis Application (W0135),Fiori W0135: Group Data Analysis for Business Analyst - Group Reporting (Application)
Review Process Document,13.1.3.4 Model and document processes 1.00,26,,ADONIS (Release & Control) (BOC Group) (Application)
Review procurement key at source/ manufacturing plants,9.1.2.4 -EXT SP Perform product costing (Existing Spare Part) 1.00,12,,
Review production alerts,4.3.1.4 Reschedule Production Orders 2.00,3,Review alert monitor (/SAPAPO/AMON1),Fiori /SAPAPO/AMON1: Alert Monitor for Production Planner - Advanced Planning (Application)
Review Production Order,2.5.1.2.4 Review Production Order 1.00,4,"Key action(s):
Review to ensure that all information required for the Production Order is available and set up correctly. It is not clear what happens when this (P)review is not accepted.
Possible To Be Issues:
1. Routing not created (Goes to Mfg Engg)
2. Production version not created (Goes to Mfg Engg)
3. Purchase Info Record not setup (Goes to Commodity)
4. Source not fixed (Goes to Commodity)",
Review Production Order,4.3.2.5D Monitor and optimize production process (Spares) 2.00,9,Key action(s): Review Production Order report,Fiori COOIS: Monitor Production / Planned Orders for Production Supervisor - Discrete Manufacturing (Application)
Review provision,9.1.2.1 -MTHLY E&O Perform inventory accounting (Monthly Excess & Obsolescence) 1.00,16,,MS Outlook (Application)
Review provision,9.1.2.1 -MTHLY E&O Perform inventory accounting (Monthly Excess & Obsolescence) 1.00,13,,MS Outlook (Application)
Review Purchase Order,4.2.4.4A Create/Distribute Purchase Orders 2.00,3,,Fiori ME23N: Display Purchase Order. Display Purchase Order - Advanced (Application)
Review Purchase Requestions,4.2.4.4A Create/Distribute Purchase Orders 2.00,26,,Fiori ME5A: Display Purchase Requisitions for Purchaser (Application)
Review Purchase Requisition,4.2.4.2 Approve requisitions 1.00,4,,Fiori ME53N: Display and Maintain Purchase Requisition - Advanced for Purchaser (Application)
Review QN task closure,13.3.3.5 Close non-conformance 1.00,12,"Review if the QN follow up task meeting the closure criteria of a proper 8D.
In case of a correction e.g. Drawing update check if this will take away the cause of the problem.",
Review QN task closure,13.3.3.5 Close non-conformance 1.00,6,"Review if the QN follow up task meeting the closure criteria of a proper 8D.
In case of a correction e.g. Drawing update check if this will take away the cause of the problem.",Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Review qualified opportunities with changed data,4.1.2.4A Develop available to promise Build Plan 1.00,3,,
Review quarter over quarter cycle time improvements,4.1.1.5 -SP Define Capacities 2.00,17,,
Review quota arrangement,4.2.3.4E Manage Quota Arrangement 1.00,18,"Review based on supplier capacity, price and demand.",SAP MEQ3: Display Quota Arrangements (Application)
Review RBA SAQ,12.2.3.1 Evaluate the requirements for strategic requirements 1.00,1,,
Review RBA SAQ,13.7.2.2 Assess future risks and opportunities 1.00,1,,
Review reason for faster or slower usage as expected,4.1.7.3 Establish dynamic deployment policies 2.00,25,,
Review reports,9.1.2.1 -MTHLY PDT VAR Perform inventory accounting (Monthly Production Variance) 1.00,18,,MS Outlook (Application)
Review reports,9.1.2.1 -MTHLY PPV Perform inventory accounting (Monthly PPV) 1.00,18,,MS Outlook (Application)
Review request,9.3.1.5 Establish common financial systems (FCC) 1.00,31,Review request of the changes required in FCC Closing Template,
Review request,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,59,,MS PowerApp (Microsoft) (Application)
Review requested adjustments,"9.3.3.4 -AA REVAL Process and record fixed-asset adjustments, enhancements, revaluations, and transfers 1.00",14,"CFO reviews the adjustments for impairment (if applicable) and discuss with Group Controller, if require. CFO signs-off on the adjustments as evidence of approval.",MS Outlook (Application)
Review requested adjustments,"9.3.3.4 -AA REVAL Process and record fixed-asset adjustments, enhancements, revaluations, and transfers 1.00",12,"Group Controller reviews the adjustments for impairment (if applicable) and discuss with Group Accounting Director, if required. Group Controller signs-off on the adjustments as evidence of approval.",MS Outlook (Application)
Review requested Product Hierarchy,2.1.4.6 Manage product/material classification (Create New Product Hierarchy) 1.00,3,"Product Hierarchy name, which can be a code name, as provided in the Comments of the MRS.",
Review resource capacity utilization,4.3.1.4 Reschedule Production Orders 2.00,25,"Review resource utilization.
PPDS: T-code: /SAPAPO/CDPS_REPT (Monitor Capacity Utilization)
Lean-PP: Tcode CM01","Fiori /SAPAPO/AMON3: Alert Monitor Overview (Application),
Fiori CM01: Cap. planning. work center load (Application)"
Review revaluation,9.1.2.4 -EXT MAKE Perform product costing (Existing Make Part) 1.00,30,,MS Outlook (Application)
Review revaluation report,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,66,,MS Outlook (Application)
Review revaluation report,9.1.2.4 -EXT BUY Perform product costing (Existing Buy Part) 1.00,61,,MS Outlook (Application)
Review revaluation report,9.1.2.4 -EXT MAKE Perform product costing (Existing Make Part) 1.00,23,,MS Outlook (Application)
Review RMA,5.3.2.6H Used / Unused Parts Return 1.00,8,"RMA: Return Material Authorization
Key Activities:
Judge if this RMA can be approved or must be rejected.
New ""Defective Parts"" return reason code replacing ""Part Warranty"" and ""Failed on Install"" and auto approval of un-used part return.",
Review SCAR report,13.3.3.1 -SU Assess potential impact (Supplier QN) 2.00,13,,Fiori QM03: Display Quality Notification (Application)
Review schedule for alternate work center and adopt,4.3.1.4 Reschedule Production Orders 2.00,17,"Review schedule and adopt.
T-code: /SAPAPO/CDPS0
App: Advanced Scheduling Board","Fiori F5460: Advanced Scheduling Board (Application),
SAP /SAPAPO/CDPS0: DPS Variable View (Application)"
Review scorecard results and inform supplier,4.2.5.2B Prepare/Analyze procurement and vendor performance 1.00,18,,Fiori F1649: Monitor Responses for Strategic Buyer (Application)
Review SCR,13.3.3.1 -SCR Assess potential impact (Supplier change request) 1.00,18,"The EPD collaborator will work with the Supplier Manager and evaluate the SCR with all submitted documents. ASM reserves the right to accept or reject proposed changes based on the supporting data, or to further evaluate the sufficiency of the data and the proposed benefits.",
Review SCR form and documents,13.3.3.1 -SCR Assess potential impact (Supplier change request) 1.00,27,"Select the impacted product line
Enter the comments
Update the disposition of the SCR",Fiori QM03: Display Quality Notification (Application)
Review scrap material cost,13.3.3.3.2F Scrap process 1.00,3,The MRB team member need to determine the material cost when purchased as new.,Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Review service contract framwork and details,3.5.3.12 R&C Manage internal approvals 1.00,10,,
Review Service Entry Sheet,4.2.4.4C Approve Service Entry Sheet 2.00,12,,Fiori F2027: Manage Service Entry Sheets - Lean Services for Employee - Procurement (Application)
Review set-up accuracy of GL Account,9.3.2.1 Maintain chart of accounts 1.00,4,,
Review shipment packaging design with business,4.4.3.4.1 Design Re-Usable Crate 1.00,7,,Email (Application)
Review shipment packaging test results with business,4.4.3.4.1 Design Re-Usable Crate 1.00,12,,Email (Application)
Review shortages,4.3.2.6 R&C Assess production performance (Production Mtg) 1.00,4,"Review individual tool based on the WBS (tool number).per tool the team will review if any shortages. If shortages is cleared=no material shortage=tool should be on track. If shortages, depending on the material, the tool can be pushed out. If risk for the customer pick up date, the account team need to highlight to the customer. After the production meeting, minutes will be sent out to all participants with agreements and actions
File extracted from \\Asmsgfs01\sap-bw\MRP.",
Review simulated supplier rebate settlement,9.3.2.4 -SS REBATE Process period end adjustments (Supplier Rebate Accrual Monthly /Final Settlement) 1.00,13,,Fiori WB2R_SV: Settle Condition Contracts. Settle Sales Commissions (Application)
Review simulation Results,4.3.1.2 Generate line level plan (Prod.Ord. create and modify) 2.00,25,,
Review SMRA,"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",7,,"Custom Fiori App (Application),
Fiori QM02: Change Quality Notification for Quality Engineer (Application)"
Review SMRA,"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",39,,"Custom Fiori App (Application),
Fiori QM02: Change Quality Notification for Quality Engineer (Application)"
Review SPDA,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",2,MFG approval,
Review SPDA,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",36,Byer SMRA review,Fiori QM02: Change Quality Notification for Quality Engineer (Application)
Review SSD request,4.3.2.5C Monitor and optimize production process (SSD) 1.00,19,"SSD: Shipment Specification Deviation
Review SSD request in workflow system before approval
considerations
can field service intall SSD item in field or impossible to assembly in field
should tool be delivered without robot.(not shuffle tested)",K2 SSD: Process (Short Shipment Deviation) (Application)
Review Statistical Key Figures Report [Statistical Key Figures Actual],9.1.3.2 Measure cost drivers 1.00,28,"GL accountant will review the allocation result under the statistical key figures report.
If the allocation is correct, they would measure the cost drivers by executing different cost management reports",
Review status of tool on floor,4.3.2.6 R&C Assess production performance (Production Mtg) 1.00,10,"Start date for assembly, start date for test and end date for assembly. In the meeting the progress is reviewed. If delays, e.g. because of shortages, the dates might be delayed",
Review Stock Revaluation Report for Spare plants,9.1.2.4 -EXT SP Perform product costing (Existing Spare Part) 1.00,29,Review and approve the spare stock revaluation analysis prior to executing the quarterly standard cost for spare plants and non-FEMS manufacturing plants.,MS Outlook (Application)
Review Stock Revaluation Report for Spare plants,9.1.2.4 -EXT SP Perform product costing (Existing Spare Part) 1.00,24,Review and approve the spare stock revaluation analysis prior to executing the quarterly standard cost for spare plants.,MS Outlook (Application)
Review suppliers input and assign follow up task if required,13.3.3.1 -IC Assess potential impact (Incoming Quality QN) 1.00,19,"Review supplier’s comment and assign other tasks such as
Submit Failure Analysis (FA)/Supplier Corrective Action Request (SCAR) report to the responsible and release tasks.",Fiori QM03: Display Quality Notification (Application)
Review Suppliers input and close the Quality Notification,13.3.3.1 -IC Assess potential impact (Incoming Quality QN) 1.00,21,,Fiori QM03: Display Quality Notification (Application)
Review system updated data of opportunity,4.1.2.4A Develop available to promise Build Plan 1.00,6,,
Review tasks completed,9.3.1.5 Establish common financial systems (FCC) 1.00,18,"Respective GL/AP/AR/FA managers review tasks completed for their areas.
GL Manager determines that all tasks are completed before formal closure of the reporting period.",Fiori F3698: Close Progression (Application)
Review the Changes,4.3.2.2E Execute detailed line schedule (Resolution Implemention) 1.00,9,,
Review the depreciation rates for reasonableness,9.3.3.6 Calculate and record depreciation expense 1.00,48,,
Review the FA report,"13.3.3.1C -FA Assess potential impact (Failure Analysis QN, Performing FA) 1.00",26,,Fiori QM03: Display Quality Notification (Application)
Review the FA report with requestor or customer,"13.3.3.1C -FA Assess potential impact (Failure Analysis QN, Performing FA) 1.00",28,Review the FA report with requestor or customer,
Review Ticket,3.5.4.7A Process back orders and updates (OFE Change Approval Ticket A Initiation) 2.00,5,"Review the ticket, the summary should clearly describe what change is requested. Objects that will change should be on the ticket.
If a new version of OSF is created, send it through the approval loop.
If an OSF update is made, add the OSF DIR to the ticket in the Attachment section.",SAP IPS OFE Change Approval ticket Workflow (Order Fulfillment Equipment) (I ) (Application)
Review usage and risk level for Critical Spares materials,4.1.3.1 -SP Create Unconstrained Plan 2.00,47,,Fiori /SAPAPO/SPP_SHORT_MO: Display Shortage Monitor (Application)
Review VC cost estimate results,3.5.4.4B OFE ER Phase: Material Release First [30] + Final [40] 1.00,43,,
Review with stakeholders,13.1.3.4 Model and document processes 1.00,15,,ADONIS (Design & Document) (BOC group) (Application)
Review ZMD79 after demand loading,4.1.3.1 -FCST Create Unconstrained Plan 3.00,13,"- Order BOM (to double check whether OBOM has been loaded) if yes, Forecast should be removed
- ASD Date - is it loaded correctly
- Check any missing FCST loading - Top parent FC BOM - is it input correctly",SAP ZMD79: PP Demand Management (AVL) (Application)
"Review, approve specification",3.5.4.4A OFE ER Phase: Creation [10] + Order Intake [20] 2.00,14,,
"Review, approve specification",3.5.4.4A OFE ER Phase: Creation [10] + Order Intake [20] 2.00,8,,
"Review, approve specification",3.5.4.4A OFE ER Phase: Creation [10] + Order Intake [20] 2.00,6,,
"Review, investigate rejected Scheduling Agreement",4.2.3.3 -SCHEDULING Negotiate and establish contracts 2.00,19,,Fiori ME33L: Display Scheduling Agreement (Application)
"Review, update and close the task",13.3.3.1 -IC Assess potential impact (Incoming Quality QN) 1.00,37,"Display the tasks assigned.
Submit FA report and other tasks as
required.
Complete the tasks.",SAP ARIBA - SCC - QM (Application)
Review/ Edit Proposed Accrual Object,9.3.2.4 -ACCRUAL Process period end adjustments (Accrual Engine) 1.00,4,"AP invoice accountant will review the line items proposed, to check the box on the line items that needs to be sent for approval.
If the approver sent back for Accounts payable invoice accountant to amend the proposed accrue amount, AP invoice accountant will amend in the line item and resend to approver.",Fiori FACRARVWCO: Review Periodic Accruals – Controllers (Application)
Reviews count results,9.3.3.8 -YRLY Track fixed-assets including physical inventory 1.00,7,,
Revoke Production Order TECO status,4.3.2.5B Monitor and optimize production process (Modify Prod Ord confirmation) 2.00,5,Key action(s): Cancel TECO status in Production Order,Fiori CO02: Change Production Order for Production Supervisor - Discrete Manufacturing (Application)
"Revoke status of original appropriation request from ""Approved"" to ""Created""",9.4.2.3 Monitor and track capital projects and budget spending 1.00,7,,"SAP IMA11: Individual Processing (Application),
SAP IMA2N: Change Appropriation Request (Application)"
RFID scan to location: After kit audit area,4.4.3.1B Manage and track inventory deployment 2.00,9,,SAP ZEWM_RFID_CHAMBER: RFID Chamber Interface (Application)
RFID scan to location: In-Coming Cleaning,4.4.3.1B Manage and track inventory deployment 2.00,14,ICC: In-Comming Cleaning,SAP ZEWM_RFID_CHAMBER: RFID Chamber Interface (Application)
RFID Scan to location: Kit sorting area,4.4.3.1B Manage and track inventory deployment 2.00,4,,"SAP RF_Device: RF Device (Application),
SAP ZEWM_RFID_CHAMBER: RFID Chamber Interface (Application)"
RFID scan to: Recieving work center,4.4.3.1B Manage and track inventory deployment 2.00,17,,SAP ZEWM_RFID_CHAMBER: RFID Chamber Interface (Application)
Route based on approval tables,9.6.1.3 -Non-PO Audit invoices and key data in AP system (Non-PO) 1.00,28,"For invoices, approval table maintained directly in WMD
For credit memo, approval is based on GAM.",SAP /WMD/XF_AGDET: xFlow agent determination (Application)
Route final report for formal approval and store on SharePoint,9.3.1.5 Establish common financial systems (FCC) 1.00,38,"After completion of the report, the report is routed for formal (visible) approval to both the VP, Global Supply Chain and GOPS controller",
Route the GSNIA for approval (authorization according GAM),4.4.3.5 -GSNIA Track Inventory Accuracy (Goods Scrap Notification Inventory Adjustment) 1.00,14,"GAM: Global Authorization Matrix
Key activities:
Judge GSNIA with CAPA: Approve, reject or indicate remarks for update","SAP ZMM_GSNIA_APP: GSNIA Approval Matrix (Application),
SAP ZMM_GSNIA_MATRIX: Approval Matrix Report (Application)"
Run Buffer Proposal Calculation,4.1.3.5 Generate Constrained Plan (DDMRP Evaluation and Calculation) 2.00,2,"Proposed initial categories:
1. MVP (Most Valuable ? list of materials from Manufacturing Engineer
2. Constrained materials from the supplier
3. Strategic Materials List from Commodity Team
4. Critical re-use packaging materials from Reuse Packaging Team",Fiori F2837: Schedule Buffer Proposal Calculation for Production Planner (Application)
Run Business Volume Report,9.2.2.2 -REBATE Generate customer billing data (Customer Rebate) 2.00,4,,Fiori WB2R_BUSVOL: Display Business Volume - Condition Contracts (Application)
Run Calibration schedule output monitoring report.,4.3.3.1A 1-Calibrate Test Equipment(External) 2.00,2,,Fiori IP24: Scheduling overview list form (Application)
Run Collective Availability Check,4.3.1.7 Release Production Order 2.00,6,"Key action(s):
Run Collective Availability Check
(Material availability check executed collectively for all orders in a single transaction to check for the status of the available inventory of components.)",SAP COMAC: Collective Availability Check (Application)
Run Cost Roll Simulation,2.5.1.2.3 Perform Cost Roll Simulation 2.00,11,"Result of Cost roll Check:
passed
not passed
if not passed followup options are:
Rework Part
Rework Assembly
Rework Part and Assembly",
Run Demand Capture Realignment Planning,4.1.2.1 -SP Develop baseline demand forecasts 2.00,5,,
Run DRP,4.1.3.1 -SP Create Unconstrained Plan 2.00,6,DRP: Distribution Requirement Planning,"Fiori /SAPAPO/CURTO_SIMU: Display Production Data Structures for Production Planner - Advanced Planning (Application),
Fiori /SAPAPO/LOC3: Maintain Location (Application),
Fiori /SAPAPO/PE_RUN: Manage Planning Services (Application),
Fiori /SAPAPO/SPPDRPAPPR: Approve DRP Results for Supply Planner - Service Parts (Application),
Fiori /SAPAPO/SPPDRPM: Manage DRP Matrix for Supply Planner - Service Parts (Application),
Fiori /SAPAPO/SPPDRPSB: Manage External Procurement - Schedule Board for Supply Planner - Service Parts (Application),
Fiori /SAPAPO/SPPFIXREQ: Manage Fixed Demands and Fixed Receipts for Supply Planner - Service Parts (Application),
Fiori CURTOADV_CREATE: PDS Transfer (SAP PP/DS on SAP ERP). Transfer Production Data Structures (Application),
FIori SPRO: Customizing - Edit Project (Application),
SAP /SAPAPO/DRPC_EP: Profile: DRP Approval Maximum Values (Application),
SAP /SAPAPO/PROD2BOD_M: Assign and Unassign Product to BOD (Application),
SAP /SAPAPO/SPP_SSD: SPP Supplier Shutdown (Application)"
Run MRP by Plant,4.1.3.1 -MRP Create Unconstrained Plan 2.00,7,"Key Actvitie(s):
This is an automated task",SAP MD01: MRP Run (Application)
Run MRP by Plant or Single Material or Multiple Material,4.1.3.1 -MRP Create Unconstrained Plan 2.00,2,,"Fiori MD02: MRP - Single-Item. Multi-Level (Application),
SAP MD01: MRP Run (Application),
SAP ZMM_MRP_MULTI_ITEM: MRP Run - Multiple Item (Application)"
Run PBI: Supplier On-Time delivery report to obtain key purchasing metrics,4.2.5.2B Prepare/Analyze procurement and vendor performance 1.00,29,"PBI: Power BI
Key purchasing metrics include early receipts, open order report, churn",Power BI (Microsoft) (Application)
Run Plan Activity Price Calculation,9.1.2.4 -ACVT RATE Perform product costing (Maintain Activity Rate) 1.00,18,Activity prices/ rates include labour and variable and fixed overheads,Fiori KSPI: Run Plan Price Calculation - Cost Centers (Application)
Run Plan Cost Split,9.1.2.4 -ACVT RATE Perform product costing (Maintain Activity Rate) 1.00,17,"This is a step to allocate the cost to respective activities or cost components (labour, variable and fixed overheads).",Fiori KSS4: Split Costs - Cost Centers - Plan (Application)
Run Planner Overview,4.1.3.5 Generate Constrained Plan (DDMRP Evaluation and Calculation) 2.00,15,,Fiori F2832: Planner Overview for Production Planner (Application)
Run Power BI Spares 3 years Usage Report,4.1.3.1 -SP Create Unconstrained Plan 2.00,28,"SAP BI report calculates the 3-year usage based on leadtime, historical usage, lead-time supplier and supplier minimum order quantity",
Run Production Material Request Report,4.4.3.1A Manage and track inventory deployment 2.00,3,,Fiori /SCWM/PMR: Production Material Requests for Warehouse Clerk (Extended Warehouse Management) (Application)
Run project settlement - WBS To PSG,9.1.2.9 (#TBD#) Close/ Settle projects 1.00,12,"WBS: Work Breakdown Structure (aka Project)
PSG: Profitability SeGment",Fiori CJ88: Run Settlement - Projects - Actual for Cost Accountant - Overhead (Application)
Run project settlement - WBS To PSG,9.1.2.9 (#TBD#) Close/ Settle projects 1.00,18,"WBS: Work Breakdown Structure (aka Project)
PSG: Profitability SeGment",Fiori CJ88: Run Settlement - Projects - Actual for Cost Accountant - Overhead (Application)
Run revenue posting,9.3.2.4 -RAR Process period end adjustments (RAR) 1.00,16,,Fiori FARR_REV_POST: Start Revenue Posting Run (Application)
Run Rules Check and or Promotion /Demotion,"2.4.1.11 Errors resolution (Assertion) Rule checks and Pro Demotion (ER, MM, BOM, DIR) 1.00",3,"These rules guard ER’s, BOMs, MM’s and DIR’s get promoted to a next status while their content does not meet agreed conditions.
Rule validation can be triggered either manually by the Check Rules buttons on various screens or is triggered automatically before the change of status of a respective object.
Object get validated based on the rules as defined in: - Reiss Process Optimizer and - SAP BRF+","Process Optimizer (.Riess) (Application),
SAP BRF+: (Business Rule Framework Plus) org (Application)"
Run Settlement in existing Project to transfer cost,9.1.2.8 (#TBD#) Project Type Change 1.00,19,,Fiori CJ88: Run Settlement - Projects - Actual for Cost Accountant - Overhead (Application)
Run settlement (Non-production) - WBS to WIP,9.1.2.9 (#TBD#) Close/ Settle projects 1.00,3,"WBS: Work Breakdown Structure (aka Project)
WIP: Work In Progress",Fiori CJ88: Run Settlement - Projects - Actual for Cost Accountant - Overhead (Application)
Run Settlement AUC to FXA,"9.4.2.4 Close/capitalize projects (Z2, Z3, 50) 1.00",14,"AUC: Asset Under Construction
FXA: Fixed Asset",Fiori CJ88: Run Settlement - Projects - Actual for Cost Accountant - Overhead (Application)
Run settlement rule for revenue,9.1.2.9 (#TBD#) Close/ Settle projects 1.00,6,,SAP ZFI_WBS_FNBL_PSG: Set FNBL WBS with PSG Settl. Rule (Application)
