Tcode Name,Description
SAP MDRE: Checking Plnng File In BCKGRND Mode,
SAP ME/MII (Manufacturing Execution / Manufacturing Integration and Intelligence)),"SAP Manufacturing Execution Systems
System ID: S2-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ME03: Display Source List,
SAP ME07: Reorganize Source List,
SAP ME0M: Source List for Material,
SAP ME1A: Archived Purchasing Info Records,
SAP ME1X: Buyer's Negotiation Sheet for Vendor,
SAP ME1Y: Buyer's Negotiat. Sheet for Material,
SAP ME23: Display Purchase Order,
SAP ME2A: Monitor Confirmations,
SAP ME2COMP: Component Consumption History,
SAP ME2DP: Down-Payment Monitoring for PO,
SAP ME2O: SC Stock Monitoring (Vendor),
SAP ME2V: Goods Receipt Forecast,
SAP ME33: Display Outline Agreement,
SAP ME3A: Transm. Release Documentation Record,
SAP ME41: Create Request For Quotation,
SAP ME43: Display Request For Quotation,
SAP ME48: Display Quotation,
SAP ME49: Price Comparison List,
SAP ME4B: RFQs by Requirement Tracking Number,
SAP ME4C: RFQs by Material Group,
SAP ME4L: RFQs by Vendor,
SAP ME4M: RFQs by Material,
SAP ME4N: RFQs by RFQ Number,
SAP ME4S: RFQs by Collective Number,
SAP ME52: Change Purchase Requisition,
SAP ME53: Display Purchase Requisition,
SAP ME54: Release Purchase Requisition,
SAP ME59: Automatic Generation of POs,
SAP ME5F: Release Reminder: Purch. Requisition,
SAP ME62: Display Vendor Evaluation,
SAP ME65: Evaluation Lists,
SAP ME6H: Standard Analysis: Vendor Evaluation,
SAP ME80: Purchasing Reporting,
SAP ME80AN: General Analyses (A),
SAP ME80F: Purchasing Reporting: POs,
SAP ME80FN: General Analyses (F),
SAP ME80R: Purchasing Reporting: Outline Agmts.,
"SAP ME80RN: General Analyses (L,K)",
SAP ME81: Analysis of Order Values,
SAP ME81N: Analysis of Order Values,
SAP ME82: Archived Purchasing Documents,
SAP ME91F: Purchase Orders: Urging/Reminders,
SAP MEI1: Automatic Purchasing Document Change,
SAP MEI3: Recompilation of Document Index,
SAP MEIS: Data Selection: Arrivals,
SAP MELB: Purch. Transactions by Tracking No.,
SAP MEMASSCONTRACT: Mass Changing of Contracts,
SAP MEMASSIN: Mass-Changing of Purch. Info Records,
SAP MEMASSPO: Mass Change of Purchase Orders,
SAP MEMASSRQ: Mass-Changing of Purch. Requisitions,
SAP MEQ3: Display Quota Arrangements,
SAP MEQ4: Changes to Quota Arrangement,
SAP MEQ7: Reorganize Quota Arrangement,
SAP MEQ8: Monitor Quota Arrangements,
SAP MEQM: Quota Arrangement for Material,
SAP MF52: Planning Table - Display,
SAP MF57: Planning Table - By MRP Lists,
SAP MIR6: Invoice Overview,
SAP ML47: Display Service Conditions,
SAP ML81N: Service Entry Sheet,
SAP ML82: Display Service Entry Sheet,
SAP ML84: List of Service Entry Sheets,
SAP MM60: Materials List,
SAP MMRV: Allow Posting to Previous Period for Master Data Specialist - Product Data,
SAP MMSC: Enter Storage Locations Collectively,
SAP MN06: Display Message: PO,
SAP MR03: Display Inv. Verification Document,
SAP MS$4: PURCHIS: Vendor PurchVal Selection,
SAP MS01: Long-Term Planning Total Planning,
SAP MS08: Reorg.MRP Lists for Long-Term Plnng,
SAP MSC5N: Mass Processing for Batches,
SAP MSRV4: Service List for RFQ,
SAP NWBC: (NetWeaver Business Client),"SAP NetWeaver Business Client (NWBC) - No Server for NWBC
System ID: S1-18
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP OKEON: Change Standard Hierarchy,
SAP OKP1: Maintain Period Lock,
SAP OLIIBW: Reorg. of PM Info System for BW,
SAP OLIQBW: QM Infosystem Reorganization for BW,
SAP ON08: ISH:Authorizations,
SAP OPPP: Customizing Direct Procurement,
SAP OQB6: Number range for certificate receipt,
SAP PA20: Display HR Master Data,
SAP PA30: Maintain HR Master Data,
SAP PA71: Fast Entry of Time Data,
SAP PK03: Display Control Cycle,
SAP PK05: PP Maintain Supply Area (Kanban),
SAP PLM - CIDEON Add-on in SAP ECC (Cideon),"CIDEON Add-on in SAP ECC:
1. CIDEON CE
2. CIDEON View Manager
3. CIDEON RFC Server (also use by EPLAN Harness proD)
System module ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP PLM - CR (Product Live Cycle Management - Change Record),"SAP Change Record
System module ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP PLM - DMS (product Lifecycle Management - Document Management System),"SAP Document Management System
System module ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP PLM - ECM (Product Lifecycle Management - Engineering Change Management),"SAP Engineering Change Management
System module ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP PLM - ER (Product Lifecycle Management - Engineering Record),"SAP Engineering Record
System module ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP PLM - PLC (Product Lifecycle Management - Product Lifecycle Costing),"SAP Product Lifecycle Costing
System module ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP PLM (Product Lifecycle Management),"SAP Product Lifecycle Management
System ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP PMIS: Object Class Analysis,
SAP PO10: Maintain Organizational Unit,
SAP PREC: Travel Expenses Accounting Program,
SAP PRFI: Posting to Financial Accounting,
SAP PROD_SUBSTN_UPLOAD: Prod. Substn. Excln. upload,
SAP PRRW: Post Accounting Data,
SAP PSM: Product Structure Management,"PSM: Product Structure Management
PSM is one of the modules of SAP PLM
System module ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP PT_QTA10: Absence Quota Information,
SAP QA09: No. range maintenance for insp.lots,
SAP QCC0: Direct Access to IMG,
SAP QM50: Time line display Q notifications,
SAP QS43: Maintain catalog,
SAP QS44: Maintain catalog,
SAP QS47: Central replacement of code groups,
SAP QS48: Usage indicator - code groups,
SAP QS49: Display code groups and codes,
SAP QS4A: Display catalog,
SAP QS53: Maintain individual selected set,
SAP QS54: Maintain selected set,
SAP QS55: Maintain selected set,
SAP RF_Device: RF Device,"Radio frequency (RF) devices, also known as radio frequency scanners or handheld barcode scanners, are used to simplify the picking process"
SAP RKACSHOW: Display CO Cost Segments,
SAP RPC0: Info. System CCtrs: Presettings,
SAP RPC1: Info. System CCtrs: Presettings,
SAP RPP0: Proj. Info System: Default Settings,
SAP RSPC: Process Chain Maintenace,
SAP RSPCM: Monitor daily process chains,
SAP RSPM_MONITOR: BW Process Monitor,
SAP RVKRED09,
SAP S/4HANA,"System ID: SA-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP S_AC0_52000887: Receivables: Profit Center,
SAP S_AC0_52000888: Payables: Profit Center,
SAP S_AL0_96000493: Purchase Order,
SAP S_AL0_96000495: Purchase Requisition,
SAP S_ALR_87004092: IMG Activity: SIMG CFMENUORK1VA02,
SAP S_ALR_87005701: IMG Activity: SIMG_ORKS_EXTRA_GRE9,
SAP S_ALR_87005711: IMG Activity: SIMG_ORKS_SELEK_RPCN,
SAP S_ALR_87005721: IMG Activity: SIMG_ORKS_PARAM_RPXN,
SAP S_ALR_87009712: Profit Center: Area list plan/act.,
SAP S_ALR_87009957: Customer List,
SAP S_ALR_87009958: List of Customer Addresses,
SAP S_ALR_87010122: Asset Balances,
SAP S_ALR_87010144: Asset History Sheet,
SAP S_ALR_87010175: Depreciation Posted to Cost Center,
SAP S_ALR_87010785: Cost Element Report,
SAP S_ALR_87011775: Cost Centers: Actual/Plan/Variance,
SAP S_ALR_87011964: Asset Balances,
SAP S_ALR_87011966: Asset Balances,
SAP S_ALR_87011967: Asset Balances,
SAP S_ALR_87011968: Asset Balances,
SAP S_ALR_87011969: Asset Balances,
SAP S_ALR_87011970: Asset Balances,
SAP S_ALR_87011980: Physical Inventory List,
SAP S_ALR_87011981: Physical Inventory List,
SAP S_ALR_87012026: Depreciation,
SAP S_ALR_87012041: Asset Balances,
SAP S_ALR_87012048: Asset Transactions,
SAP S_ALR_87012056: Directory of unposted asset,
SAP S_ALR_87012056: Directory of Unposted Assets,
SAP S_ALR_87012075: Asset History,
SAP S_ALR_87012077: Vendor Information System,
SAP S_ALR_87012079: Transaction Figures: Account Balance,
SAP S_ALR_87012080: Transaction Figures: Special Sales,
SAP S_ALR_87012081: Transaction Figures: Sales,
SAP S_ALR_87012082: Vendor Balances in Local Currency,
SAP S_ALR_87012083: List of Vendor Open Items,
SAP S_ALR_87012084: Open Items: Vendor Due Date Forecast,
SAP S_ALR_87012085: Vendor Payment History,
SAP S_ALR_87012086: Vendor List,
SAP S_ALR_87012087: List of vendor addresses,
SAP S_ALR_87012090: Display Critical Vendor Changes,
SAP S_ALR_87012093: Vendor Business,
SAP S_ALR_87012103: List of Vendor Line Items,
SAP S_ALR_87012104: List Of Cleared Vendor Items,
SAP S_ALR_87012105: List Of Down Payments Open,
SAP S_ALR_87012168: Due Date Analysis for Open Items,
SAP S_ALR_87012172: Customer Balances in Local Currency,
SAP S_ALR_87012173: List of Customer Open Items,
SAP S_ALR_87012178: Customer Open Item Analysis(Overdue),
SAP S_ALR_87012179: Customer List,
SAP S_ALR_87012183: Display Critical Customer Changes,
SAP S_ALR_87012195: Customer Master Data Comparison,
SAP S_ALR_87012197: List of Customer Line Items,
SAP S_ALR_87012250: Half-Year Actual/Actual Comparison,
SAP S_ALR_87012251: Quarterly Actual/Actual Comparison,
SAP S_ALR_87012252: Periodic Actual/Actual Comparison,
SAP S_ALR_87012270: Profit and Loss Statement(Per.Acctg),
SAP S_ALR_87012271: Cash Flow (Direct Method),
SAP S_ALR_87012296: Journal,
SAP S_ALR_87012309: Cash Journal,
SAP S_ALR_87012326: Chart of Accounts,
SAP S_ALR_87012328: G/L Account List,
SAP S_ALR_87012332: Customer / Vendor / G/L Account,
SAP S_ALR_87012356: Advance Return for Tax on Sales/Pur.,
SAP S_ALR_87012360: Deferred Tax Transfer,
SAP S_ALR_87012797: Budget Distribution to Measures,
SAP S_ALR_87012814: Distribution of Overall Bdgt in Prog,
SAP S_ALR_87012817: Budget Update in Program,
SAP S_ALR_87012819: Budget Distribution to Measures,
SAP S_ALR_87012820: Overall/Annual Budget in Measures,
SAP S_ALR_87012825: Budget Available for Measures,
SAP S_ALR_87012936: Depreciation Simulation,
SAP S_ALR_87012938: Overall/Annual Plan from Approp.Req.,
SAP S_ALR_87012939: Plan Version Comp.:Appropiation Req.,
"SAP S_ALR_87012940: Investment/Expense Plan, Approp.Req.",
SAP S_ALR_87012941: Plan from Approp. Requests and Meas.,
SAP S_ALR_87012942: Plan Versions in Approp.Req./Measure,
SAP S_ALR_87012943: Request Plan/Budget for Measures,
SAP S_ALR_87012945: Overall Plan/Annual Plan from Req.,
SAP S_ALR_87012946: Investment/Expense Plan,
SAP S_ALR_87012947: Plan Version Comparison: Requests,
SAP S_ALR_87012949: Request/Measure Plan,
SAP S_ALR_87012950: Request Plan/Budget for Measures,
SAP S_ALR_87012951: Request Plan/Assigned,
SAP S_ALR_87012993: Orders: Actual/plan/variance,
SAP S_ALR_87012996: List: Orders by Cost Element,
SAP S_ALR_87012998: Orders: Breakdown by Partner,
SAP S_ALR_87013003: Orders: Period Comparison - Actual,
SAP S_ALR_87013011: Orders: Actual/Plan/Price Variance,
SAP S_ALR_87013019: List: Budget/Actual/Commitments,
SAP S_ALR_87013093: Planned Costs,
SAP S_ALR_87013094: Actual Costs,
SAP S_ALR_87013095: Target/Actual/Production Variance,
SAP S_ALR_87013099: Plan/Actual Comparison,
SAP S_ALR_87013143: Target/Actual Comparison: Periods,
SAP S_ALR_87013151: Actual/WIP: Cumulative,
SAP S_ALR_87013154: Planned Costs: Cumulative,
SAP S_ALR_87013336: Plan/Actual Bal.Sheet Accts: PrCtr,
SAP S_ALR_87013337: Profit Center Group: Key Figures,
SAP S_ALR_87013340: PrCtr Group: Plan/Actual Comparison,
SAP S_ALR_87013342: Statistical Key Figures,
SAP S_ALR_87013344: Profit Center: Payables,
SAP S_ALR_87013517: Project Info System: Outl. Rep. Proj,
SAP S_ALR_87013518: Project Info System: Outl. Rep WBS-,
SAP S_ALR_87013519: Project Info System: Main Prog.Dist.,
SAP S_ALR_87013520: Project Info System: Main Prog.Dist.,
SAP S_ALR_87013521: Project Info System: Main Program Pl,
SAP S_ALR_87013522: Project Info System: Main Prog.Order,
SAP S_ALR_87013523: Project Info System:Network Overview,
SAP S_ALR_87013524: Project Info System: Acty Overview,
SAP S_ALR_87013525: Project Info System:Confirmation Ov.,
SAP S_ALR_87013526: Project Info System: Main prog. rel.,
SAP S_ALR_87013527: Project Info System: Overview Milest,
SAP S_ALR_87013528: Project Info System: Overview Cap.,
SAP S_ALR_87013529: Project Info System: PRT Overview,
SAP S_ALR_87013530: Project Info System: Main Prog. Comp,
SAP S_ALR_87013564: Plan/Actual/Variance,
SAP S_ALR_87013584: Budget/Actual/Commitment,
SAP S_ALR_87013591: Overview,
SAP S_ALR_87013592: Master Data Recon.Report:Consistency,
SAP S_ALR_87013593: Master Data Recon.Report:Consistency,
SAP S_ALR_87013594: Master Data Recon.Report:Consistency,
SAP S_ALR_87013595: Master Data Recon.Report:Consistency,
SAP S_ALR_87013596: Master Data Recon.Report:Consistency,
SAP S_ALR_87013597: Master Data Recon.Report:Consistency,
SAP S_ALR_87013611: Cost Centers: Actual/Plan/Variance,
SAP S_ALR_87013612: Area: Cost Centers,
SAP S_ALR_87013613: Range: Cost Elements,
SAP S_ALR_87013614: CCtrs: Current Period / Cumulative,
SAP S_ALR_87013619: Areas: Assigned Orders/WBS Elements,
SAP S_ALR_87013623: Cost Centers: Quarterly Comparison,
SAP S_ALR_87013624: Cost Ctrs: Fiscal Year Comparison,
SAP S_ALR_87013631: Cost Centers: Rolling Year,
SAP S_ALR_87013632: Cost Centers: Average Costs,
SAP S_ALR_87013633: Cost Centers: Act./Plan/Var./Prev.Yr,
SAP S_ALR_87013634: Cost Centers: Currency Translation,
SAP S_ALR_87013635: Area: Actual/Plan 2 Currencies,
SAP S_ALR_87013637: Area: Internal Business Volume,
SAP S_ALR_87013638: Cost Centers: Curr./Cum./Total Year,
SAP S_ALR_87013639: Cost Centers: Act/Target from Summ.,
SAP S_ALR_87013640: CCtrs: Period Breakdown Actual/Plan,
SAP S_ALR_87013645: Stat. Key Figs: Period Breakdown,
SAP S_ALR_87013646: Activity Types: Period Breakdown,
SAP S_ALR_87013648: Range: Actual/Budget/Commitments,
SAP S_ALR_87014387: Display Document Flow,
SAP S_ALR_87014388: Display Confirmations,
SAP S_ALR_87014392: Display Document Flow,
SAP S_ALR_87101279: RFC Trace,
SAP S_P6B_12000142: Change Documents for Conditions,
SAP S_P99_41000062: Materials List: Prices and Inventory,
SAP S_P99_41000111: List of Existing Mat. Cost Estimates,
SAP S_P99_41000166: Bank directory,
SAP S_P99_41000192: SAP Standard Variant,
SAP S_PL0_86000028: Fin. Statements: Act/Act Comparison,
SAP S_PL0_86000030: G/L Account - Balances,
SAP S_PL0_86000031: Transaction Figures: Account Balance,
SAP S00: Short Message,
SAP SA38: ABAP Reporting,
SAP SAPAPO/PLN_GRP: Assignment Analyst to Supp. + PrGrp.,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP SBWP: SAP Business Workplace,
SAP SDV: Document Viewer,
SAP SE11: ABAP Dictionary Maintenance,
SAP SE16N: General Table Display - ACCESS DENIED -,"Function that allows to open SAP tables and extract data for further processing and reporting
Attention: There are opinions about the security of the use of this transaction by end-users see: attachments
22 Ock 2024: Based on security grounds and as recommended by ASM external auditor access to this transaction will be revoked for ALL business user's"
SAP SE37: ABAP Function Modules,
SAP SE38: ABAP Editor,
SAP SE93: Maintain Transaction Codes,
SAP SERG: Power app for Material Master Extension to Spares Plants,
SAP SESS: Session Manager Menu Tree Display,
SAP SF - ANA (SuccessFactors - Analytics),"SF Analytics
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - CDP (SuccessFactors - Career Development Plan),"SF Career Development Plan
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - COMP (SuccessFactors - Compensations),"SF Compensation
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - EC (SucessFactors - Employee Central),"SF Employee Central
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - LMS (SuccessFactors - Learning Management System),"SF Learning Management System
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - ONB (SuccessFactors - ONBoarding),"SF Onboarding
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - PLT (SuccessFactors - Platform),"SF Platform
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - PMGM (SuccessFactors - Performance & Goal Management),"SF Performance & Goal Management
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - RCM (SuccessFactors - Recruiting Management),"SF Recruiting Management
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF - SP (SuccessFactors - Succession Planning),"SF Succession Planning
System module ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SF (SuccessFactors),"SAP SuccessFactors
System ID: S10-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SFIOM_QRY_ORG_OBJ: Execute Org. Obj. Replication Query,
SAP SFIOM_VIEW_ORG_REQS: View org. struc. item repl. request,
SAP SFIOM_VIEW_REQUESTS: View replication requests,
SAP SHC_ADMIN: Manage Help Center Centrally,
SAP SM30: Call View Maintenance,
SAP SM36: Schedule Background Job,
SAP SM37: Overview of job selection,
SAP SM59: RFC Destinations (Display/Maintain),
SAP SMX: Display Own Jobs,
SAP SOLMAN (Solution Manager),"SAP Solution Manager
System ID: SB-03
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP SOST: SAPconnect Send Requests,
SAP SP02: Display Spool Requests,
SAP SPL_GENERATE_DDIC: Generate additional fields,
SAP SQVI: QuickViewer,
SAP SU01D: User Display,
SAP SU3: Maintain Users Own Data,
SAP SU51: Maintain Own User Address,
SAP SU52: Maintain Own User Parameters,
SAP SU53: Evaluate Authorization Check,
SAP SU55: Call the Session Manager menus,
SAP SWF_APPL_DISPLAY: Workflow: Application Log,
SAP SWF_OBJ_EXEC_CL: Execute Object Method (SIBFLPORB),
SAP SWFPOWLWI: Display/Execute Work Item,
SAP SWI1: Selection report for workflows,
SAP SWIA: WI Administration Report,
SAP SWNWIEX: WF Notification: Edit Work Item,
SAP TCURMNT: Exchange rate Entry,
SAP TREXADMIN: TREX Administration Tool,
SAP UKM_TRANSFER_ITEMS: Liability Update,
SAP V/79: Output -CondTable- Display Transport,
SAP VA05N: List of Sales Orders,
SAP VA25N: List of quotations,
SAP VA35N: List of Scheduling Agreements,
SAP VA45N: List of Contracts,
SAP VA88: Actual Settlement: Sales Orders,
SAP VC/2: Customer Master Data Sheet,
SAP VCUST: Customer List,
SAP VD04: Customer Changes (SD),
SAP VEG_BATCHJOB: Start conversion via batch job,
SAP VEG_JOBMONITOR: Job log monitor,
SAP VL02: Change Outbound Delivery,
SAP VL03: Display Outbound Delivery,
SAP VL22: Display Delivery Change Documents,
SAP VL23N: Goods Issue (Background Processing),
SAP VL32: Change Inbound Delivery,
SAP VL33: Display Inbound Delivery,
SAP VT03: Old: Display Shipment,
SAP VT05: Worklist Shipping: Logs,
SAP VT06: Select Shipments: Materials Planning,
SAP VT10: Select shipments: Start,
SAP VT11: Select Shipments: Materials Planning,
SAP VT12: Select Shipments: Transpt Processing,
SAP VT13: F4-Help Shipment Number,
SAP VT16: Select Shipments: Check In,
SAP VT31N: Selection Variants for Fwdg Agents,
SAP VT70: Output for Shipments,
SAP WDR_ACF_WLIST: Administration of ACF Security List,
SAP WE02: Display IDoc,
SAP WE07: IDoc statistics,
SAP Web_UI: (User Interface) org,
SAP WFM: Work Force Management,
SAP WPDTC: Planned Delivery Time Calculation,
SAP WUI: Start the WebClient UI,
SAP WVM7: Assignment of PO Data to Vendor,
SAP XXXX: (---Tcode UNDER DISCUSSION --- ),"The application used to execute a task
tasks need more than one application"
SAP Z_APPR: Approve Working time,
SAP Z_APPR_C: Approve Working time (with Change),
SAP Z_APPR_CN: CATS Working Time Entry and Approval,
SAP Z_CID_HPD_CUST: Harness Integration Customizing,
SAP Z_NTS_BC01: SAP Custom Screen Report,
SAP Z_NTS_FI01: SAP FI Accounting Statement Report,
SAP Z_NTS_FI02: SAP FI Customer Purchase Master,
SAP Z_NTS_FI03: SAP FI Bank Account Report,
SAP Z_NTS_MM01: SAP MM Invoice Report,
SAP Z_NTS_MM02: SAP MM Logistics Report,
SAP Z_NTS_PS01: SAP WBS System Report,
SAP Z_NTS_SD01: SAP SD Invoice Report,
SAP Z_VOTD: Vendor OTD Report,
SAP Z001: Hyperion: Department costs per CC,
SAP Z6M1: List Cost Element by Order (SGD),
SAP Z6M2: Production Order Var by Order No,
SAP Z6M3: Prod Ord Var by Ord No (Act-Pln-Tgt),
SAP Z6O1: Orders: Drilldown by Partner (SGD),
SAP ZABAVN_UPLOAD: ABAVN Upload Program,
SAP ZAPAUDIT: MM and FI Vendor Posting Comparison,
SAP ZAPPROVERS: Document flow Approvers,
SAP ZASMGPR05: ASMG Per Diem Report,
SAP ZASSET: Asset Inventory Report,
SAP ZASSET_UPLOAD: Mass Asset Master Changes,
SAP ZB2BXFER: Bin To Bin Transfer,
SAP ZBACK: Sales Backlog Report,
SAP ZBANK_DEL: Delete Bank Statement,
SAP ZBANKMDEXP: Bank Master Data,
SAP ZBILL: Sales Billings,
SAP ZBILLSPLIT: Manually Set Billing Split Criteria,
SAP ZBINCHECK: Bin Check,
SAP ZBOM_INFR: Non-Assembly BOM items Inforec,
SAP ZBOM02: Multi-Level BOM Explosion,
SAP ZBOMLABEL: BOM Usage Labels,
SAP ZC001: Upload Standard Price,
SAP ZC005: Remove MM/PP status for Material,
SAP ZC009: Standard price enquiry,
SAP ZC010: Production order comparsion report,
SAP ZC011: Production Order Report - Per/Cum,
SAP ZC013: WIP AGING FORM FI,
SAP ZC015: Inventory Aging Analysis Update,
SAP ZC016: Inventory Aging Report,
SAP ZC018: Calculate Standard Price,
SAP ZC019: Inventory Aging Analyses Online,
SAP ZC019_2: Inventory Aging Analyses with SLoc,
SAP ZC019_3: Inventory Aging Analysis w/ Sp.Stock,
SAP ZC019_4: Inventory Aging Analysis Online,
SAP ZC024: Stock transfer variance,
SAP ZC025: Future Price Upload & Remove,
SAP ZC026: Profit Margin(Std BOM cost) Report,
SAP ZC027: KPI - Fabrication / Assembly Hours,
SAP ZC028: KPI - Material Consumption Variance,
SAP ZC029: KPI - External Process Report,
SAP ZC032: ZCR032,
SAP ZC033: Update SFO number into ref of 783000,
SAP ZC034: Statistical Key Figure,
SAP ZC04: Plan Vs Actual Summary,
SAP ZC05: Plan Vs Actual by Cost Center,
SAP ZC07: Monthly PlanVsActual by Cst Ctr Rpt,
SAP ZC901: Cost Base Analysis for 8000,
SAP ZC902: CBA for 8000 (Mthly Trend of sel FY),
SAP ZCAPEX: CAPEX Report,
SAP ZCAT2CO: CATS Records to CATSCO table,
SAP ZCH_PARK: Change Posting Date on a Parked Doc,
SAP ZCHGDOC: Read Selected Change Documents,
SAP ZCK55: Mass Costing - Sales Documents,
SAP ZCK55_RESULTS: Get ZCK55 Results,
SAP ZCK80_99: Material: Cost Components,
SAP ZCK89_99: Sales Order Costing Report,
SAP ZCKM_DEFAULT: CKM Kit Default,
SAP ZCKM_KIT_EXTEND: CKM Kit Material Extension,
SAP ZCKM_KIT_MAP: ZCKM Kit Extend Mapping Value,
SAP ZCKM_KIT_TRACKING: CKM Kit Tracking Report,
SAP ZCKM_PART_TRACKING: CKM Part Tracking Report,
SAP ZCKM_PO_UPLOAD: CKM PO Upload Program,
SAP ZCN52N: Overview: Components,
SAP ZCNMASS: Mass Change for CJ20N,
SAP ZCO_RA_KEY: Display RA Key Details,
SAP ZCO27_PUR: Production Shortages,
SAP ZCO41: Collective Conversion of Plan Order,
SAP ZCOMP_ASSIGN: VC: Mass Component Allocation,
SAP ZCOOSYNC: Material Master CoO Synchronization,
SAP ZCOOUPD: Material Master CoO Update Program,
SAP ZCOST_MATREL: Auto RL of Material with Cost Roll,
SAP ZCS_CKM_IBASE_UPLOAD: CKM IBase Upload Programm,
SAP ZCS_EQ_CRMDATA: Retrieve Process type Technology Nd,
SAP ZCS_FSM_EQREPORT: FSM DO Equipmt Report & Email Notif,
SAP ZCS_FSM_EQSTATUS: FSM Equipment Status Update,
SAP ZCS_FSM_IDOC_REPORT: FSM Idoc Monitoring Report,
SAP ZCS_FSM_PART_REPORT: FSM Part Request Report,
SAP ZCS_FSM_SVTYPE_EMPTY: FSM Empty Svc Type & Email Reminder,
SAP ZCS_FSM_SVTYPE_UPDATE: FSM Update Svc Type in Svc Order,
SAP ZCS_FSM_SVTYPE_UPDT: FSM Update Service Type in Service Order,
SAP ZCS_FSM_TLIST_UPLOAD: FSM Task List Upload,
SAP ZCS_IDOC_REPORT: FSM Idoc Monitoring Report,
SAP ZCSHOURS: Serv Order Approved hours rate,"This function is moved to Power BI
(S4 RICEFW 1876)"
SAP ZCSKPI: Service KPI,
SAP ZCSMATERIAL: Customer Material Report,
SAP ZCTR: Consignment Transfer posting,
SAP ZCUST: Customer Aging for Accounting,
SAP ZCUST02: Customer Aging,
SAP ZCUST03: Customer AR Aging - As Of,
SAP ZDMS_CADCHECK: View Cluster For Cad Check,
SAP ZDMS_DIRCHECK: View Cluster For DIR Checks,
SAP ZDMS_KPRO_CHECK: DIR's with more than one active ver.,
SAP ZDMS_PRODDOC: Mass Download DIR File For P.O.,
SAP ZDMS_SDOC: DMS To SDOC Program,
SAP ZDMS_SDOC_V: Change View SAP TO SDOC Entry Table View,
SAP ZDNTO_CREATE: Create TO from DN,
SAP ZDOUBLEBIN: Material in Muliple Bin Report,
SAP ZDOWN_TXT: Download Long Texts,
SAP ZEDILOG: EDI Idoc Log,
SAP ZEGUIB01: Process EGUI Output Credit Note,
SAP ZEGUIB02: Process EGUI Input Tax Inv / Credit,
SAP ZEGUIB03: Post EGUI Input Tax Invoice,
SAP ZEGUIB04: Process EGUI Input Tax Inv / Credit,
SAP ZEGUIB05: Upload and Review Message E0402,
SAP ZEGUIB06: Proecss Turnkey Service Message Log,
SAP ZEGUIB07: Proecss Manual Error Handling,
SAP ZEGUIB08: GUI Credit Memo serial number assign,
SAP ZEGUIB09: Credit Memo Processing Program,
SAP ZEGUIB10: Send Output Tax Invoice Message,
SAP ZEGUIB11: Send Output Tax Invoice Msg-Cancel,
SAP ZEGUIC00: Turnkey Server Information,
SAP ZEGUIC01: Credit Notes Processing Type Control,
SAP ZEGUIC03: EGUI Category per Customer,
SAP ZEGUIC05: EGUI Output tax CM Creation Control,
SAP ZEGUIR01: Input Tax Inv / Credit Notes Status,
SAP ZEGUIR02: Input Tax Inv / Credit Notes Status,
SAP ZEGUIR04: Reconciliation Report,
SAP ZEOLQ_ALERT: EOL Quantity Alert,
SAP ZEPO: External process - PO report,
SAP ZESPP_CREATE_BP_LOC: Create SCM Location Spares Vendor,
SAP ZESPP_CREATE_LOCN: Program /SAPAPO/CREATE_LOCATION,"If this transaction shows up as un-available e.g. in the GUI, add /N as prefix."
SAP ZESPP_DATA_EXTRACT: Forecast inventory levels,
SAP ZESPP_FCSTAPPR: SPP: Forecast Queue for Manual Appro,
SAP ZESPP_SS_GENFILE: ZESPPR_CREATE_SS_INPUTFILE,
SAP ZEWM_BINLABEL: Print EWM Bin Label,
SAP ZEWM_CONLOC_UPLOAD: Container and Location Upload Tool,
